NCBITaxon_108151 | unidentified eubacterium clone BSV03
NCBITaxon_108152 | unidentified eubacterium clone BSV04
NCBITaxon_108153 | unidentified eubacterium clone BSV05
NCBITaxon_108154 | unidentified eubacterium clone BSV06
NCBITaxon_108155 | unidentified eubacterium clone BSV07
NCBITaxon_108156 | unidentified eubacterium clone BSV13
NCBITaxon_108157 | unidentified eubacterium clone BSV16
NCBITaxon_108158 | unidentified eubacterium clone BSV19
NCBITaxon_108159 | unidentified eubacterium clone BSV20
NCBITaxon_108160 | unidentified eubacterium clone BSV21
NCBITaxon_108161 | unidentified eubacterium clone BSV24
NCBITaxon_108162 | unidentified eubacterium clone BSV26
NCBITaxon_108163 | unidentified eubacterium clone BSV27
NCBITaxon_108164 | unidentified eubacterium clone BSV28
NCBITaxon_108165 | unidentified eubacterium clone BSV29
NCBITaxon_108166 | unidentified eubacterium clone BSV30
NCBITaxon_108167 | unidentified eubacterium clone BSV31
NCBITaxon_108168 | unidentified eubacterium clone BSV34
NCBITaxon_108169 | unidentified eubacterium clone BSV39
NCBITaxon_108170 | unidentified eubacterium clone BSV40
NCBITaxon_108171 | unidentified eubacterium clone BSV41
NCBITaxon_108172 | unidentified eubacterium clone BSV43
NCBITaxon_108173 | unidentified eubacterium clone BSV44
NCBITaxon_108174 | unidentified eubacterium clone BSV45
NCBITaxon_108175 | unidentified eubacterium clone BSV46
NCBITaxon_108176 | unidentified eubacterium clone BSV50
NCBITaxon_108177 | unidentified eubacterium clone BSV51
NCBITaxon_108178 | unidentified eubacterium clone BSV52
NCBITaxon_108179 | unidentified eubacterium clone BSV53
NCBITaxon_108180 | unidentified eubacterium clone BSV54
NCBITaxon_108181 | unidentified eubacterium clone BSV55
NCBITaxon_108182 | unidentified eubacterium clone BSV56
NCBITaxon_108183 | unidentified eubacterium clone BSV58
NCBITaxon_108184 | unidentified eubacterium clone BSV61
NCBITaxon_108185 | unidentified eubacterium clone BSV62
NCBITaxon_108186 | unidentified eubacterium clone BSV64
NCBITaxon_108187 | unidentified eubacterium clone BSV65
NCBITaxon_108188 | unidentified eubacterium clone BSV70
NCBITaxon_108189 | unidentified eubacterium clone BSV71
NCBITaxon_108190 | unidentified eubacterium clone BSV72
NCBITaxon_108191 | unidentified eubacterium clone BSV73
NCBITaxon_108192 | unidentified eubacterium clone BSV74
NCBITaxon_108193 | unidentified eubacterium clone BSV75
NCBITaxon_108194 | unidentified eubacterium clone BSV76
NCBITaxon_108195 | unidentified eubacterium clone BSV77
NCBITaxon_108196 | unidentified eubacterium clone BSV78
NCBITaxon_108197 | unidentified eubacterium clone BSV79
NCBITaxon_108198 | unidentified eubacterium clone BSV80
NCBITaxon_108199 | unidentified eubacterium clone BSV81
NCBITaxon_108200 | unidentified eubacterium clone BSV82
NCBITaxon_108201 | unidentified eubacterium clone BSV83
NCBITaxon_108202 | unidentified eubacterium clone BSV84
NCBITaxon_108203 | unidentified eubacterium clone BSV85
NCBITaxon_108204 | unidentified eubacterium clone BSV86
NCBITaxon_108205 | unidentified eubacterium clone BSV87
NCBITaxon_108206 | unidentified eubacterium clone BSV89
NCBITaxon_108207 | unidentified eubacterium clone BSV90
NCBITaxon_113576 | bacterial enrichment culture S2-E1
NCBITaxon_113578 | unidentified wastewater sludge bacterial sample S1
NCBITaxon_113579 | bacterial enrichment culture S3-E1
NCBITaxon_130787 | unidentified bacterium ZF1
NCBITaxon_130789 | unidentified bacterium ZF3
NCBITaxon_130790 | unidentified bacterium ZF5
NCBITaxon_130791 | unidentified bacterium MK1-309
NCBITaxon_130792 | unidentified bacterium MK2-921
NCBITaxon_130793 | unidentified bacterium MK2-413
NCBITaxon_137303 | lactate SRB-Enrichment culture clone HBLac1
NCBITaxon_139316 | unidentified bacterium PIA-1
NCBITaxon_139317 | unidentified bacterium PIA-2
NCBITaxon_139318 | unidentified bacterium PIA-3
NCBITaxon_139319 | unidentified bacterium PIA-4
NCBITaxon_139320 | unidentified bacterium PIA-5
NCBITaxon_139321 | unidentified bacterium PIA-6
NCBITaxon_139322 | unidentified bacterium PIA-7
NCBITaxon_139323 | unidentified bacterium PIA-8
NCBITaxon_139324 | unidentified bacterium PIA-9
NCBITaxon_139325 | unidentified bacterium PIA-10
NCBITaxon_139326 | unidentified bacterium PIA-11
NCBITaxon_139327 | unidentified bacterium PIA-12
NCBITaxon_143478 | unidentified eubacterium K112
NCBITaxon_143479 | unidentified eubacterium K66
NCBITaxon_143480 | unidentified eubacterium K103
NCBITaxon_143481 | unidentified eubacterium K44
NCBITaxon_144688 | unidentified bacterium HXN 2000
NCBITaxon_145921 | unidentified bacterium T101
NCBITaxon_145922 | unidentified bacterium T107
